pop1,pop2,nu1.median,nu1.hi,nu1.lo,nu2.median,nu2.hi,nu2.lo,T.median,T.lo,T.hi,m12.median,m12.lo,m12.hi,m21.median,m21.lo,m21.hi
W,S,9800,5000,14000,8000,4200,14000,290000,110000,6e+05,0.002,0.00083,0.012,0.006,0.00097,0.013
W,O,12000,9600,14000,7600,4500,9900,3e+05,130000,7e+05,0.0017,0.0012,0.0021,0.0094,0.0061,0.014
W,M,11000,7700,14000,8000,5500,12000,220000,110000,4e+05,0.0015,0.00088,0.0026,0.0065,0.0028,0.011
W,K,14000,13000,16000,1900,1100,3100,130000,96000,180000,0.00047,4.9e-05,0.00076,0.0054,0.0031,0.0099
S,O,13000,8000,15000,11000,7400,14000,170000,96000,850000,0.0011,0.00032,0.0045,0.0096,0.0026,0.015
S,M,14000,8800,15000,13000,7300,29000,140000,61000,720000,0.00089,0.00033,0.0025,0.013,0.0053,0.018
S,K,15000,13000,18000,1500,840,2700,150000,110000,3e+05,0.00042,2.1e-05,0.0018,0.0086,0.0043,0.015
O,M,11000,2700,14000,11000,4900,16000,140000,60000,580000,0.0016,0.00078,0.017,0.009,0.00073,0.013
O,K,15000,13000,19000,1800,750,2600,140000,94000,320000,0.00086,0.00054,0.0019,0.0068,0.0041,0.017
M,K,18000,15000,21000,2800,830,3400,370000,120000,430000,0.0021,0.0012,0.0024,0.0041,0.0033,0.017
